program_name,asp,category,est_reward,conversion,approval_difficulty,self_back,sakura_fit,apply_status,source_url,note,found_at
ネイティブキャンプ留学,A8,留学,10000円[確認],新規見積完了,mid,no(本人NG),5,approved,https://www.a8.net/,EPC36.87 確定率83.33%【期限】8/31までキャンペーンで5000→10000円,2026-08-02
レアジョブ英会話,A8,英会話,2000円[確認],初回無料体験レッスン受講,low,yes(本人OK/セルフバック可),5,approved,https://www.a8.net/,EPC11.85 確定率39%(低い・注意) テーブル制10件→3000円/30件→4000円/50件→5000円,2026-08-02
スタディサプリENGLISH TOEIC対策,A8,TOEIC,1439円[確認],初回会員登録,low,yes(セルフバック可),5,applied_2026-08-02,https://www.a8.net/,EPC42.17 確定率99.7% 勝ちトピックTOEICの本命,2026-08-02
スクールウィズ,もしも(A8にも掲載あり),留学,5000円[確認],新規無料面談,mid,no,5,applied_2026-08-02,https://www.a8.net/,もしも経由で申請中。A8にも同案件あり(無料面談5000円/EPC7.36)。承認された方で登録する,2026-08-02
スマ留,A8,留学,unknown,無料カウンセリング,mid,unknown,5,candidate,https://www.a8.net/ec/casestudy/20/,A8導入実績[確認]・30歳前ワーホリ締切ストーリーに直結,2026-08-01
QQ English,A8,英会話,2500円[確認],新規無料体験レッスン,low,no,4,approved,https://www.a8.net/,EPC30.15 確定率97.45%,2026-08-02
Kimini英会話,A8,英会話,2707円[確認],新規無料会員登録,low,no,4,applied_2026-08-02,https://www.a8.net/,EPC42.45 確定率70.49% 学研ブランド,2026-08-02
産経オンライン英会話Plus,A8,英会話,1000円[確認],新規無料体験レッスン参加,low,yes(本人OK/セルフバック可),4,applied_2026-08-02,https://www.a8.net/,EPC38.91 確定率71.69% 原体験づくりに最適,2026-08-02
Bizmates,A8[推測],英会話,unknown,無料体験,mid,unknown,4,candidate,https://www.keiblog0815.com/english-asp,営業事務→ビジネス英語のキャリア文脈に接続,2026-08-01
RIZAP ENGLISH,A8,コーチング,約5000-10000円[推測/2016出典・要確認],無料カウンセリング完了,mid-high,yes[古い],5,candidate,https://media-analytics.jp/affisearch/promotions/rizap,高単価×知名度・セルフバックで無料体験原体験+高報酬狙い,2026-08-01
