post_id,before,after,kept,removed,reason,result
18,ネイティブキャンプ留学 + 留学情報館,留学情報館,留学情報館,ネイティブキャンプ留学,エージェント比較の記事。相談窓口が次の行動と1対1,✅
19,スパトレ + スタディサプリ 新日常英会話,スパトレ,スパトレ,スタディサプリ 新日常英会話,入力・出力・矯正のうち矯正を外に出す文脈。アプリ側（スタディサプリ）は入力寄りで役割が重なる,✅
23,ネイティブキャンプ留学 + 留学情報館,ネイティブキャンプ留学,ネイティブキャンプ留学,留学情報館,3つの箱の①を見積もりで確定させる。留学情報館は同じエージェントで役割が重なる,✅
27,ネイティブキャンプ留学 + 留学情報館,（CTAなし）,（なし）,ネイティブキャンプ留学 + 留学情報館,学習時間を自分の用途で割り直す記事。結論は計算手順で、留学エージェントのCTAは本文のどこからも必要性を説明できない,✅
28,QQ English + ネイティブキャンプ,（CTAなし）,（なし）,QQ English + ネイティブキャンプ,上達しない8つの理由を1本の鎖に並べ直す整理記事。読者はまだどのサービスを選ぶかの段階に来ていない,✅
32,speek + スパトレ,speek + スパトレ,speek + スパトレ,（なし）,確認4「音の練習が抜けていないか」が発音矯正、締めの「無料の期間」が会話量。役割が違う,✅
33,QQ English + ネイティブキャンプ,ネイティブキャンプ,ネイティブキャンプ,QQ English,職務10場面を毎日使う文脈。QQ Englishはカランメソッドで役割が違う,✅
37,ネイティブキャンプ留学 + 留学情報館,ネイティブキャンプ留学,ネイティブキャンプ留学,留学情報館,休職と退職の比較。①の実費を見積もりで確定させる,✅
40,留学情報館,留学情報館,留学情報館,（なし）,手数料の仕組みを理解した上での相談。もともと1本,変更なし
41,スパトレ + スタディサプリ 新日常英会話,（CTAなし）,（なし）,スパトレ + スタディサプリ 新日常英会話,体力が枯れた日の最低ラインを決める共感・入口記事。決めるのは自分の枠であって、サービスではない,✅
42,QQ English + ネイティブキャンプ,ネイティブキャンプ,ネイティブキャンプ,QQ English,使う十数文を毎日回す文脈,✅
61,スパトレ + スタディサプリ 新日常英会話,（CTAなし）,（なし）,スパトレ + スタディサプリ 新日常英会話,やる気ではなく締切の本数を数える共感・入口記事。結論は表を埋めることで、次の行動に案件が入らない,✅
64,ネイティブキャンプ留学 + 留学情報館,（CTAなし）,（なし）,ネイティブキャンプ留学 + 留学情報館,コーチング契約前の12の質問。CTAは留学エージェント2本で、記事の主題と案件が噛み合っていない,✅
67,ネイティブキャンプ留学 + フィリピン留学ナビ,フィリピン留学ナビ,フィリピン留学ナビ,ネイティブキャンプ留学,フィリピン留学の申し込み前。専門エージェントが1対1,✅
117,スパトレ + ネイティブキャンプ,（CTAなし）,（なし）,スパトレ + ネイティブキャンプ,ゼロから始める人向けの共感・入口記事。今日やった分に明日の出番を付けるところまでが結論,✅
131,ネイティブキャンプ留学 + 留学情報館,留学情報館,留学情報館,ネイティブキャンプ留学,目標額を上げるか出発を早めるかの相談。ネイティブキャンプ留学は同じ役割で重なる,✅
136,ネイティブキャンプ留学 + 留学情報館,（CTAなし）,（なし）,ネイティブキャンプ留学 + 留学情報館,移住の入口条件を整理する制度の概要記事。行き先とビザが決まる前なので、相談で決められることが少ない,✅
137,ネイティブキャンプ留学 + 留学情報館,（CTAなし）,（なし）,ネイティブキャンプ留学 + 留学情報館,コーチングの体験談の読み分け方。CTAは留学エージェント2本で、記事の主題と案件が噛み合っていない,✅
138,スパトレ + speek,スパトレ,スパトレ,speek,総額を残った月数で割る記事。高額契約の前に安い枠で試す、が次の行動,✅
149,ネイティブキャンプ留学 + 留学情報館,留学情報館,留学情報館,ネイティブキャンプ留学,3つの箱を埋めてから相談に行く、が本文の結論,✅
150,スパトレ + スタディサプリ 新日常英会話,（CTAなし）,（なし）,スパトレ + スタディサプリ 新日常英会話,空いた日から戻る手順を決める共感・入口記事,✅
151,スパトレ + speek,（CTAなし）,（なし）,スパトレ + speek,「意味ない」を自分の条件へ翻訳する4問。意味を考える記事で、4問を埋めた結果が「契約は要らない」になることもある,✅
207,ネイティブキャンプ留学 + 留学情報館,（CTAなし）,（なし）,ネイティブキャンプ留学 + 留学情報館,不安を調べる・試す・残るの3つに仕分ける整理記事。本文が「Cの欄が空なら相談はまだ早い」と書いている,✅
232,speek,speek,speek,（なし）,発音の判定の仕組みを外に置く。もともと1本,変更なし
235,ネイティブキャンプ留学 + フィリピン留学ナビ,フィリピン留学ナビ,フィリピン留学ナビ,ネイティブキャンプ留学,セブ島留学1ヶ月の比較表。専門エージェントが1対1,✅
238,ネイティブキャンプ留学 + 留学情報館,（CTAなし）,（なし）,ネイティブキャンプ留学 + 留学情報館,ワーホリに間に合うかを2つの締切に分ける制度の概要記事,✅
241,speek + スパトレ,スパトレ,スパトレ,speek,反応が返る2つの工程を外に出す。相手が人であることが条件,✅
272,ネイティブキャンプ留学 + 留学情報館,留学情報館,留学情報館,ネイティブキャンプ留学,行ける月を決めてから相談に行く、が本文の結論,✅
273,QQ English + ネイティブキャンプ,ネイティブキャンプ,ネイティブキャンプ,QQ English,話した秒数を測る。回数無制限が測定の前提と噛み合う,✅
277,スパトレ,スパトレ,スパトレ,（なし）,帰宅後30日の枠。もともと1本,変更なし
278,スパトレ,スパトレ,スパトレ,（なし）,卒業後の形を安い枠で試す。もともと1本,変更なし
281,DMM英会話 + speek,DMM英会話,DMM英会話,speek,帰国後の出口を作る文脈。speekは発音で、この記事の主題ではない,✅
282,スパトレ,スパトレ,スパトレ,（なし）,話す量を測る。もともと1本,変更なし
283,スパトレ + フィリピン留学ナビ,スパトレ + フィリピン留学ナビ,スパトレ + フィリピン留学ナビ,（なし）,出発前の事前学習と、現地の学校選び。時期も相手も違う,✅
