post_id,title,url,image,ocr,problems,conflict,action
18,留学エージェントの比較が終わらないなら、出発月を先に置く,https://sakura-eigo.com/%e7%95%99%e5%ad%a6%e3%82%a8%e3%83%bc%e3%82%b8%e3%82%a7%e3%83%b3%e3%83%88%e3%81%ae%e3%81%8a%e3%81%99%e3%81%99%e3%82%81%e3%82%9218%e7%a4%be%e6%af%94%e8%bc%83%e3%81%97%e7%b6%9a%e3%81%91%e3%82%8b%e9%99%90/,https://sakura-eigo.com/wp-content/uploads/2026/08/eyecatch-18.png,aie 六 多 4 LA プ 。 る .@ * @ら0 @ Fas Rw そっoO aes ia) o 3° a 47. Oo Pe) 7 o o SUN MON [19 | TUE WED THU FRI SAT «& ⑨ O 12 | (2) a KK KKK KY Pome o @】 ia) ROX RD 2 = 16 RR Ke wow ow | ¥) o RR Me ow 29 30 3,なし,なし,
19,英語の独学が実らないのは、入力・出力・矯正のどれかが0だから,https://sakura-eigo.com/%e3%80%8c%e8%8b%b1%e8%aa%9e-%e7%8b%ac%e5%ad%a6-%e7%a4%be%e4%bc%9a%e4%ba%ba-%e6%96%b9%e6%b3%95%e3%80%8d%e3%82%9210%e5%80%8b%e9%9b%86%e3%82%81%e3%81%a6%e3%82%82%e8%a9%b1%e3%81%9b%e3%81%aa%e3%81%84/,https://sakura-eigo.com/wp-content/uploads/2026/08/eyecatch-19.png,"me * oo. | 回= vl, EGG oe 2 oe ee --Uee-- == = Be ae vee o| Pa Jt 4 は | Zz ee も) = * ye a’ ae ee oy Pe ave =e",なし,なし,
23,ワーホリの貯金はいくら必要か｜200万を自分の数字に組み替える,https://sakura-eigo.com/%e3%80%8c%e3%83%af%e3%83%bc%e3%83%9b%e3%83%aa-%e8%b2%af%e9%87%91-%e3%81%84%e3%81%8f%e3%82%89%e5%bf%85%e8%a6%81%e3%80%8d%e3%81%a7%e5%87%ba%e3%81%9f200%e4%b8%87%e3%81%ab%e6%80%af%e3%81%88%e3%81%a6/,https://sakura-eigo.com/wp-content/uploads/2026/06/74b9063a-dc86-40e6-b53c-87d44d0498df.png,27歳、ワーホリに行きたいけど不安… ク 0 W パン / ワーホリ貯金 200A crsxsiic ) 額より先に決めるべき d y 『1つの変数』 —— Ax — > ff た swes| @ yy,旧年齢:27歳,なし,**差し替え候補。** 画像内の文字を本文と揃える
27,英語に何時間かかるかは、自分の用途を絞ってから計算する,https://sakura-eigo.com/%e3%80%8c%e8%8b%b1%e8%aa%9e-%e3%83%9a%e3%83%a9%e3%83%9a%e3%83%a9-%e3%81%ab%e3%81%aa%e3%82%8b-%e6%9c%9f%e9%96%93%e3%80%8d%e3%81%a7%e5%87%ba%e3%82%8b2000%e6%99%82%e9%96%93%e3%83%bb2%e5%b9%b4/,https://sakura-eigo.com/wp-content/uploads/2026/08/eyecatch-27.png,| mi a yas 95 SS NN A) yh y D \ 問 ¥ —— ト /2 x yy Mi SN N の/。 \ NN wh i] j 『 と fe b> 4 VE CE Mm っ ag ~ | v7 | <>,なし,なし,ファイル名に古い語。画像の中身は問題なし。名前だけ変える
28,英会話が上達しない8つの理由は、1本の鎖として並べ直す,https://sakura-eigo.com/%e3%80%8c%e8%8b%b1%e4%bc%9a%e8%a9%b1-%e4%b8%8a%e9%81%94-%e3%81%97%e3%81%aa%e3%81%84-%e7%90%86%e7%94%b1%e3%80%8d%e3%81%a7%e5%87%ba%e3%82%8b8%e5%80%8b%e3%81%ae%e3%83%aa%e3%82%b9%e3%83%88%e3%82%92/,https://sakura-eigo.com/wp-content/uploads/2026/08/eyecatch-28.png,"wre ek a oy レイ7 he J ses masa 7 わが 英会話 RCBAT ET Da, “aay 話が出てこない E スニンク 2ヨミニョニニニニニニニニニョミミーニニニジニミーニーニニここニニニニニニニニニニニニニニーー 上達しない理由 & D 》 ‘< IMN )) で出る8 個のリストを全部潰しても nme 9 『 AN 話せない。 ニョニニニ=ミニニニニニミニニニニニニニニ",なし,なし,
32,TOEIC500点から上げる勉強法｜最初に確認したい4つのこと,https://sakura-eigo.com/%e3%80%8ctoeic-500%e7%82%b9-%e3%81%8b%e3%82%89-%e4%b8%8a%e3%81%92%e3%82%8b-%e6%96%b9%e6%b3%95%e3%80%8d%e3%81%a7%e5%87%ba%e3%82%8b%e5%8f%82%e8%80%83%e6%9b%b8%e3%81%a8200%e6%99%82%e9%96%93%e3%82%92/,https://sakura-eigo.com/wp-content/uploads/2026/08/toeic-500-200.png,"= の - ""BO SN 515 515 515 Ma 4 Gh <",なし,なし,ファイル名に古い語。画像の中身は問題なし。名前だけ変える
33,仕事の英語の電話は、職務の10場面を頻度順に並べて上位3つを固める,https://sakura-eigo.com/%e3%80%8c%e3%83%93%e3%82%b8%e3%83%8d%e3%82%b9%e8%8b%b1%e8%aa%9e-%e5%8b%89%e5%bc%b7%e6%b3%95-%e7%a4%be%e4%bc%9a%e4%ba%ba%e3%80%8d%e3%81%a7%e5%87%ba%e3%82%8b%e5%ae%9a%e5%9e%8b%e8%a1%a8%e7%8f%be%e3%82%92/,https://sakura-eigo.com/wp-content/uploads/2026/08/eyecatch-33.png,——— = ーー ーー EE eS ee の jn. @ eS BS rd と ルレ マン PRE p 中 age 3 の a ーー ーーーー po チャ レ テッ @ ーー \ useft al Phrases ENGLISH think 5 で ーー Ss | gt gageete 1 の ( ょW row ore YO ・・W \ ですか7 ‘pat sour as nice! V < a),なし,なし,
37,半年の留学にいくらかかるか｜休職と退職を金額で比べる手順,https://sakura-eigo.com/%e3%80%8c%e7%95%99%e5%ad%a6-%e7%a4%be%e4%bc%9a%e4%ba%ba-%e8%b2%bb%e7%94%a8-%e7%8f%be%e5%ae%9f%e3%80%8d%e3%81%a7%e5%87%ba%e3%81%a6%e3%81%8f%e3%82%8b120%e4%b8%87%e5%86%86%e3%81%a8%e3%81%84%e3%81%86/,https://sakura-eigo.com/wp-content/uploads/2026/08/eyecatch-37.png,"し a : a Me コノ i a # PRX name 6 YW Ke Qa ーー WF SS < W eee @ @ まま or @ 4 A ———- 。 rf ere eee _ NS ee 23 AN Se AG hen a iy. &. Sites nA Goals <誠に AD ーー っ 〆 Plan ああ ae oe, SS Se i Action / = _—~. し WS >> ",なし,なし,
40,無料の留学エージェントに相談する前に｜手数料の仕組みと聞く3つの質問,https://sakura-eigo.com/%e3%80%8c%e7%95%99%e5%ad%a6%e3%82%a8%e3%83%bc%e3%82%b8%e3%82%a7%e3%83%b3%e3%83%88-%e7%84%a1%e6%96%99-%e4%bb%95%e7%b5%84%e3%81%bf%e3%80%8d%e3%81%a7%e5%87%ba%e3%81%a6%e3%81%8f%e3%82%8b%e5%ad%a6/,https://sakura-eigo.com/wp-content/uploads/2026/08/eyecatch-40.png,Oe “e e oa WC Ye x] aoe | ops | lll 日日日日日 -eem- Po. mae iO ¢ マ > ee wy & 3 = > e ee,なし,なし,
41,英会話が続かないなら、体力が枯れた日の最低ラインを先に決める,https://sakura-eigo.com/%e3%80%8c%e8%8b%b1%e4%bc%9a%e8%a9%b1-%e7%b6%9a%e3%81%8b%e3%81%aa%e3%81%84-%e8%a7%a3%e6%b1%ba%e7%ad%96%e3%80%8d%e3%81%a7%e4%b8%a6%e3%81%b6%e7%bf%92%e6%85%a3%e5%8c%96%e3%81%ae%e3%82%b3%e3%83%84/,https://sakura-eigo.com/wp-content/uploads/2026/08/eyecatch-41.png,"lw as _ fe) = し Ew, て に es () fot & ad a _— tT @ @ 6 Md QF) ie ーイf | @ f= Us ンー 1g J i a ニテ + ーーて / ` ルル ェーーー ーーテー ー | 開 ん he. KY piel iw ee i > 2 w\んーー ""Sadek me) W2 % 1 Av ウツ ん Bj Sy",なし,なし,
