post_id,title,hub_child,cluster,kind,programs,cta_count,payout_sum,revenue_tier,inbound,outbound
18,留学エージェントの比較が終わらないなら、出発月を先に置く,子記事,留学判断,比較・選び方,ネイティブキャンプ留学 / 留学情報館,2,14000,収益・大,2,2
19,英語の独学が実らないのは、入力・出力・矯正のどれかが0だから,ハブ,学習法,判断基準・勉強法,スパトレ / スタディサプリ 新日常英会話,2,2771,収益・小,8,4
23,ワーホリの貯金はいくら必要か｜200万を自分の数字に組み替える,ハブ,費用,費用・条件,ネイティブキャンプ留学 / 留学情報館,2,14000,収益・大,7,5
27,英語に何時間かかるかは、自分の用途を絞ってから計算する,子記事,学習法,判断基準・勉強法,ネイティブキャンプ留学 / 留学情報館,2,14000,収益・大,1,2
28,英会話が上達しない8つの理由は、1本の鎖として並べ直す,子記事,学習法,判断基準・勉強法,QQ English / ネイティブキャンプ,2,3600,収益・小,1,2
32,TOEIC500点から上げる勉強法｜最初に確認したい4つのこと,子記事,TOEIC,判断基準・勉強法,speek / スパトレ,2,8500,収益・中,5,3
33,仕事の英語の電話は、職務の10場面を頻度順に並べて上位3つを固める,子記事,仕事,判断基準・勉強法,QQ English / ネイティブキャンプ,2,3600,収益・小,1,2
37,半年の留学にいくらかかるか｜休職と退職を金額で比べる手順,子記事,費用,費用・条件,ネイティブキャンプ留学 / 留学情報館,2,14000,収益・大,4,4
40,無料の留学エージェントに相談する前に｜手数料の仕組みと聞く3つの質問,子記事,エージェント,比較・選び方,留学情報館,1,4000,収益・中,3,4
41,英会話が続かないなら、体力が枯れた日の最低ラインを先に決める,子記事,学習法,共感・入口,スパトレ / スタディサプリ 新日常英会話,2,2771,収益・小,2,2
42,仕事の英語で詰まるなら、1000時間より先に「使う十数文」を数える,ハブ,仕事,判断基準・勉強法,QQ English / ネイティブキャンプ,2,3600,収益・小,1,2
61,英語のやる気が出ないのは、他人に握られた締切が0本だから,子記事,学習法,共感・入口,スパトレ / スタディサプリ 新日常英会話,2,2771,収益・小,1,2
64,英語コーチングを契約する前に、卒業後に残るものを聞く12の質問,子記事,コーチング,比較・選び方,ネイティブキャンプ留学 / 留学情報館,2,14000,収益・大,2,2
67,フィリピン留学を申し込む前に、帰国後4週間の予定を埋める,子記事,学校選び,判断基準・勉強法,ネイティブキャンプ留学 / フィリピン留学ナビ,2,14000,収益・大,4,2
117,英語をゼロから始めるとき、今日やった分に明日の出番を1つ付ける,子記事,学習法,共感・入口,スパトレ / ネイティブキャンプ,2,2600,収益・小,2,2
131,ワーホリの貯金額より先に決めたい、収入が始まるまでの月数,子記事,費用,費用・条件,ネイティブキャンプ留学 / 留学情報館,2,14000,収益・大,2,4
136,「英語できなくても移住できる」は、入口を越えたあとの話,子記事,留学判断,共感・入口,ネイティブキャンプ留学 / 留学情報館,2,14000,収益・大,2,2
137,英語コーチングの体験談は、到達点の写真かその後の傾きかで読み分ける,子記事,コーチング,判断基準・勉強法,ネイティブキャンプ留学 / 留学情報館,2,14000,収益・大,2,2
138,英語コーチングの費用は、総額ではなく残った月数で割って見る,子記事,コーチング,判断基準・勉強法,スパトレ / speek,2,8500,収益・中,2,2
