post_id,section,claim,class,source,note
310,リード,月額の安い順に並んだ表が検索結果に出てくる,editorial_inference,,検索結果の一般的な形。断定は「出てくる」までで効果は言っていない
310,無料機能,無料プランや月1000円前後のアプリでよく見かけるのは単語と文法の入力を習慣にする形,editorial_inference,,「よく見かける」に留め全サービスへの断定を外した
310,無料機能,連続日数・学習時間・正答率を自動で記録するアプリは多い,editorial_inference,,「多い」で数を断定していない
310,無料機能,対応する機能や無料の範囲はサービスによって違う。契約前に公式サイトで確認,recommendation,,注意書き
310,有料機能,月額が上がる区分で増えることがあるのが講師とのレッスン,editorial_inference,,「ことがある」
310,有料機能,直し方の指示までセットになっていることがある,editorial_inference,,「ことがある」
310,足りる人,この段階で高い契約に進んでも増えるのは使わない機能になりやすい,recommendation,,提案として提示
310,発音,speekは音声学ベースの発音矯正スクール・北原真冬教授監修・講師は言語系の学位保持者のみ・完全オンライン,official_fact,https://speek.jp/ 2026-08-08,link_checker で取得（LINK_AUDIT.md）
310,発音,自分の発音のずれを自分で判断するのは難しい。正しい音を知らなければ比べる相手がいない,editorial_inference,,理由まで示した推論。効果は言っていない
310,スパトレ,スパトレは第二言語習得論に基づく学習方法・自習とレッスンの組み合わせ・7日間の無料期間,official_fact,https://sptr.jp/ 2026-08-08,同上
310,スパトレ,レッスンの前に自習をする設計なのでその時間を置けない人には向かない,official_fact,https://sptr.jp/ 2026-08-08,公式の設計から直接導かれる合わない人
310,無料期間,無料期間はサービスの良し悪しではなく自分の生活が予定を飲み込めるかを見る時間,recommendation,,提案
310,単価,月900円×6ヶ月÷20回で1回270円という試算,editorial_inference,,「例として」「仮に」と明記した試算
310,単価,分母が0回なら月額がいくらでも割り算は成立しない,editorial_inference,,算術上の帰結
304,リード,600点前後から動かなくなることがある,editorial_inference,,「ことがある」
304,確認1,TOEIC L&R の結果はリスニングとリーディングの内訳が返ってくる,official_fact,TOEIC公式の成績表仕様,⚠️要確認。公式ページで裏を取ってから公開する
304,確認1,結果を3回分並べてリスニングとリーディングを別々に折れ線にする,recommendation,,確認手順
304,確認1,沈んでいる側と時間を使ってきた側を見比べる,recommendation,,確認手順
304,確認2,詰まる箇所が単語の繋がりや語尾に集中していることがある,editorial_inference,,「ことがある」。原因とは書いていない
304,確認2,詰まった箇所を10個書き出して共通点を見る,recommendation,,確認手順
304,確認2,2週間続けて詰まる箇所が入れ替わっているかを見る。同じなら増やすべきは量ではないかもしれない,recommendation,,「かもしれない」
304,確認3,音読を録音して元の音声と交互に聞く,recommendation,,確認手順
304,確認3,ずれが見えても正しくはどう出すのかは別の話になる,editorial_inference,,
304,確認3,speekの公式情報,official_fact,https://speek.jp/ 2026-08-08,
304,確認4,本番で意味を思い出すのに時間がかかることがある。その差が積もると後半で時間が足りなくなる,editorial_inference,,「ことがある」。因果は算術の範囲
304,確認4,単語帳から10語選んですぐ反応できるかを試す,recommendation,,確認手順
304,確認4,知識を増やす練習とそれを使う練習は分けて考えたほうがいい,recommendation,,提案
304,確認4,スパトレの公式情報,official_fact,https://sptr.jp/ 2026-08-08,
282,リード,「TOEIC400あれば十分」は何について十分なのかが抜けたまま広がっていることがある,editorial_inference,,「ことがある」
282,試験,TOEIC L&R で問われるのは聞いて選ぶことと読んで選ぶこと。口から音を出す項目は入っていない,official_fact,TOEIC公式の試験形式,⚠️要確認。公式ページで裏を取ってから公開する
282,試験,話す力を測る試験は別にある（TOEIC Speaking など）,official_fact,TOEIC公式のテスト一覧,⚠️要確認
282,試験,「400で十分」が指しているのは選んで答える力のこと,editorial_inference,,試験項目から導いた推論
282,練習量,今日英語を声に出した分数を記録する,recommendation,,確認手順
282,練習量,直近1週間の練習を「選ぶ」と「組み立てる」に分けて数える,recommendation,,確認手順
282,練習量,短い応答問題には常に選択肢があるが実際の会話に選択肢は出てこない,editorial_inference,,形式の対比。効果は言っていない
282,渡航前,注文が通じなかった1回で次から指差しで済ませるようになることは起こりうる,editorial_inference,,「起こりうる」
282,渡航前,詰まる経験を出発前に済ませておくほうが現地での選択肢は増えると考えている,recommendation,,「と考えている」と明示
282,渡航前,スパトレの公式情報,official_fact,https://sptr.jp/ 2026-08-08,
521,リード,リスニングだけが動かないという状態がある,editorial_inference,,
521,確認1,音が拾えていない場合と拾えているのに残らない場合では次にやることが変わる,editorial_inference,,切り分けの提示
