claim_id,claim,subject,act,act_type,target,value,tense,is_experience,posts,post_ids,url,sentence,context,setting_source,needs,confirmation
C001,英語を5年後回しにした,さくら,後回しにした,体験,英語,5年,過去,yes,5,546 292 310 278 238,https://sakura-eigo.com/online-english-lessons-90-days-success/,それでも、5年後回しにしてきた英語を30歳になる前に動かせるかどうかは、いい講師に出会えるかどうかより、今日その5分を、予約画面で閉じずに話し始められるかで決まる。,特定のスコアや上達を保証するものではないし、伸びは取り組み方しだいで人によって変わる。 それでも、5年後回しにしてきた英語を30歳になる前に動かせるかどうかは、いい講師に出会えるかどうかより、今日その5分を、予約画面で閉じずに話し始められるかで決まる。 日曜の夜に英会話のアプリを開いては月曜に閉じる、あの繰り返しを終わらせる一手は、思っているより小さくて、3タップしかない。,CLAUDE.md 2026-06-05.md 2026-06-05_eigo-coaching-hikaku.md 2026-06-05_eigo-coaching-koka-taiken.md,本人の記憶で足りる,
C002,英語を調べた,さくら,調べた,調査,英語,,現在,no,5,289 238 151 136 40,https://sakura-eigo.com/overseas-move-30s-not-late/,英語ゼロ、貯金ゼロ、申請の下調べもゼロ。,もうひとつは行動の遅さ。 英語ゼロ、貯金ゼロ、申請の下調べもゼロ。 この2つ目こそが、私が本当に抱えている遅れだった。,CLAUDE.md 2026-06-05.md 2026-06-05_eigo-coaching-hikaku.md 2026-06-05_eigo-coaching-koka-taiken.md,本人の確認,
C003,英語を止まっていた,さくら,止まっていた,体験,英語,,過去,yes,4,546 136 64 40,https://sakura-eigo.com/online-english-lessons-90-days-success/,予約の前で止まっているなら、直すべきは英語力でも根性でもなく、そこへたどり着くまでの道のりだ。,まず試してほしいのは、過去に途中でやめたサービスを思い出して、やめた瞬間が「授業中」だったか「予約の前」だったかを1つ書き出すこと。 予約の前で止まっているなら、直すべきは英語力でも根性でもなく、そこへたどり着くまでの道のりだ。 弱いのは意志じゃなくて、話し始めるまでの手数だった 続かない自分を、私はずっと「飽きっぽい」で片づけてきた。,CLAUDE.md 2026-06-05.md 2026-06-05_eigo-coaching-hikaku.md 2026-06-05_eigo-coaching-koka-taiken.md,TOEIC公式マイページ,
C004,スパトレを試した,さくら,試した,体験,スパトレ,,過去,yes,4,273 288 151 61,https://sakura-eigo.com/online-english-conversation-speaking-time/,スパトレを試したとき、第二言語習得論をベースにしたトレーニングで、瞬間的に英文を組み立てて口に出す練習が組まれていた。,"ここで効いたのが、間違えても誰も待っていない環境で先に口を作っておくことだった。 スパトレを試したとき、第二言語習得論をベースにしたトレーニングで、瞬間的に英文を組み立てて口に出す練習が組まれていた。 相手の顔色を気にしなくていいから、私は「Yesterday, I was so tired from working late that I didn&#8217;t feel like cooking」を、詰まっても止まっても、自分のペースで最後まで言い切れた。",CLAUDE.md 2026-06-30.md 2026-07-03.md 2026-07-07.md,本人の確認,
C005,留学情報館を受けた,さくら,受けた,体験,留学情報館,,現在,yes,4,294 278 238 27,https://sakura-eigo.com/study-abroad-decision-deadline/,留学情報館の無料カウンセリングは、行き先も目的も決まっていない段階で受けていい。,質問に答えていくうちに、自分でも見えていなかった輪郭が浮かんでくる。 留学情報館の無料カウンセリングは、行き先も目的も決まっていない段階で受けていい。 決まっていないから相談するのだ。,CLAUDE.md 2026-06-29.md 2026-07-02.md 2026-07-09.md,サービスのアカウント履歴,
C006,英語をやめた,さくら,やめた,体験,英語,,過去,yes,3,297 207 37,https://sakura-eigo.com/dmm-eikaiwa-beginner-consistency-check/,過去に挫折したのは、英語力じゃなかった 思い返すと、私がやめてきた場面はいつも「話す直前」だった。,私に足りないのは単語でもレベルでもなく、口を開く前の緊張を越える経験の回数だった。 過去に挫折したのは、英語力じゃなかった 思い返すと、私がやめてきた場面はいつも「話す直前」だった。 予習は一応やる。,CLAUDE.md 2026-06-05.md 2026-06-05_eigo-coaching-hikaku.md 2026-06-05_eigo-coaching-koka-taiken.md,サービスのアカウント履歴,
C007,英会話スクールを通った,さくら,通った,体験,英会話スクール,,現在,yes,3,150 32 41,https://sakura-eigo.com/%e3%80%8c%e8%8b%b1%e8%aa%9e-%e5%8b%89%e5%bc%b7%e6%b3%95-30%e4%bb%a3-%e3%81%8b%e3%82%89%e3%80%8d%e3%81%a7%e4%b8%a6%e3%81%b6%e4%b8%ad%e5%ad%a6%e6%96%87%e6%b3%95%e3%82%84%e3%82%8a%e7%9b%b4/,独学で崩れるのは、意志が弱いからではなく採点者が自分1人だから スクールに通っていた頃のことを思い出す。,この自家中毒みたいなループを、10分という数字はまったく止めてくれなかった。 独学で崩れるのは、意志が弱いからではなく採点者が自分1人だから スクールに通っていた頃のことを思い出す。 あのとき私は続いていた。,2026-06-05.md 2026-06-05_eigo-coaching-hikaku.md 2026-06-05_eigo-coaching-koka-taiken.md 2026-06-05_kaigai-iju-eigoryoku.md,受講記録・領収書,
C008,留学情報館を登録した,さくら,登録した,体験,留学情報館,,過去,yes,3,27 64 18,https://sakura-eigo.com/%e3%80%8c%e8%8b%b1%e8%aa%9e-%e3%83%9a%e3%83%a9%e3%83%9a%e3%83%a9-%e3%81%ab%e3%81%aa%e3%82%8b-%e6%9c%9f%e9%96%93%e3%80%8d%e3%81%a7%e5%87%ba%e3%82%8b2000%e6%99%82%e9%96%93%e3%83%bb2%e5%b9%b4/,相談は無料で、断っても失うものがない 留学情報館の無料カウンセリングを申し込んだとき、私はまだ行くと決めていなかった。,材料を集める場所があると知っていたら、あんなに何度もスクロールしなかった。 相談は無料で、断っても失うものがない 留学情報館の無料カウンセリングを申し込んだとき、私はまだ行くと決めていなかった。 決めていないのに相談していいのか少し迷ったけれど、話してみたら、決めていない前提で一緒に考えてくれた。,CLAUDE.md 2026-06-29.md 2026-07-02.md 2026-07-09.md,サービスのアカウント履歴,
C009,英語を後回しにした,さくら,後回しにした,体験,英語,,過去,yes,2,526 277,https://sakura-eigo.com/fast-verify-cost-time-travel/,英語をやると言い続けて後回しにしてきて、気づけば27歳。,セブ島に4週間行った場合の見積もりを電卓に打ち込んで、その桁を思わず見直した。 英語をやると言い続けて後回しにしてきて、気づけば27歳。 会社の同期に留学経験のある子がいて、飲みの席で「机で単語やってる暇があったら、短くてもいいから現地に行っちゃうのが一番早いよ」と言われた。,CLAUDE.md 2026-06-05.md 2026-06-05_eigo-coaching-hikaku.md 2026-06-05_eigo-coaching-koka-taiken.md,本人の記憶で足りる,
C010,英語を続けた,さくら,続けた,体験,英語,,過去,yes,2,315 64,https://sakura-eigo.com/cebu-island-one-month-study-abroad/,私は現地で作った「毎日誰かと英語で話す」という習慣を、帰国後も細く長く続けられる形に移し替える必要があった。,留学の習慣は帰国後3日でほどける 1日6コマ話していた生活から、帰国して急に0コマになると、脳は英語モードを畳んでしまう。 私は現地で作った「毎日誰かと英語で話す」という習慣を、帰国後も細く長く続けられる形に移し替える必要があった。 1日25分でいいから毎日話す枠を残す。,CLAUDE.md 2026-06-05.md 2026-06-05_eigo-coaching-hikaku.md 2026-06-05_eigo-coaching-koka-taiken.md,サービスのアカウント履歴,
C011,DMM英会話を受けた,さくら,受けた,体験,DMM英会話,,過去,yes,2,281 286,https://sakura-eigo.com/philippines-english-study-after-return/,→ DMM英会話のオンライン無料体験レッスンを受けてみる 大事なのは、この出口を留学と切り離して考えないことだ。,講師も非ネイティブが中心で、ネイティブにこだわる人は別のプランを選ぶことになる。 → DMM英会話のオンライン無料体験レッスンを受けてみる 大事なのは、この出口を留学と切り離して考えないことだ。 むしろ渡航前の今から週1回でも始めておけば、留学が始まった時点で口が動く準備ができているし、帰国後もそのまま同じ枠を続けるだけでいい。,CLAUDE.md 2026-07-05.md 2026-07-12.md 2026-07-22.md,サービスのアカウント履歴,
C012,オンライン英会話を使った,さくら,使った,体験,オンライン英会話,,過去,yes,2,283 272,https://sakura-eigo.com/cebu-beginner-mistakes-design/,私が使ったのはオンライン英会話の無料体験だった。,その1回があると、現地の初日の真っ白が、真っ白のままでは終わらない。 私が使ったのはオンライン英会話の無料体験だった。 自宅の椅子に座ったまま、画面の向こうの先生と25分。,CLAUDE.md 2026-06-05_eikaiwa-app-hikaku-shakaijin.md 2026-06-05_kaigai-iju-eigoryoku.md 2026-06-05_speak-success-story.md,サービスのアカウント履歴,
C013,英語を5年続けた,さくら,続けた,体験,英語,5年,現在,yes,2,286 61,https://sakura-eigo.com/english-restart-at-30-speaking/,Table of Contents Toggle 「まず中学英語の単語から」が、続かない人にとっていちばん危ない出発点になる理由 反応が返らない作業を毎晩1人で続けられる人は、そもそもこの検索をしない 「基礎ができてから話す」の順番が、私を5年止めてきた 「目的をはっきりさせろ」で走り出せなかった、私の3月の話 目的は、スイッチを入れてはくれるけど、燃料にはならなかった 止まらなかった人を思い出す,上位の答えがなぜ届かないのかを1つずつ確かめて、最後に、今夜そのまま踏める一手を置く。 Table of Contents Toggle 「まず中学英語の単語から」が、続かない人にとっていちばん危ない出発点になる理由 反応が返らない作業を毎晩1人で続けられる人は、そもそもこの検索をしない 「基礎ができてから話す」の順番が、私を5年止めてきた 「目的をはっきりさせろ」で走り出せなかった、私の3月の話 目的は、スイッチを入れてはくれるけど、燃料にはならなかった 止まらなかった人を思い出すと、目的が明確だったからじゃなか,CLAUDE.md 2026-06-05.md 2026-06-05_eigo-coaching-hikaku.md 2026-06-05_eigo-coaching-koka-taiken.md,サービスのアカウント履歴,
C014,speekを試した,さくら,試した,体験,speek,,過去,yes,2,304 232,https://sakura-eigo.com/toeic-600-plateau-breakthrough-study/,そこで発音そのものを見てもらえる仕組みを探して、speekを試した。,自分で自分の答え合わせをしているから、間違った音を間違ったまま固めてしまう不安が消えなかった。 そこで発音そのものを見てもらえる仕組みを探して、speekを試した。 録音した英語を送ると、どの音がどうずれているかを具体的に返してくれるサービスで、独学で袋小路に入っていた私の音読に、初めて外からの答え合わせが入った。,CLAUDE.md 2026-06-29.md 2026-06-30.md 2026-07-01.md,本人の確認,
C015,英語コーチングを払った,さくら,払った,体験,英語コーチング,,過去,yes,2,278 232,https://sakura-eigo.com/english-coaching-after-graduation/,私が本当に払っているのは「他人の目」で、それは持って帰れない コーチングが効く仕組みを、私なりにあのダイエットで理解してしまった。,英語コーチングの卒業後に私が怖いのは、まったく同じ映像がもう一度再生されることだ。 私が本当に払っているのは「他人の目」で、それは持って帰れない コーチングが効く仕組みを、私なりにあのダイエットで理解してしまった。 月10万から20万を払って手に入るのは、他人の目だ。,CLAUDE.md 2026-06-05_eigo-coaching-hikaku.md 2026-06-05_eigo-coaching-koka-taiken.md 2026-06-05_kaigai-iju-eigoryoku.md,クレジットカード・銀行の明細,
C016,英語を5年間後回しにした,さくら,後回しにした,体験,英語,5年間,過去,yes,2,232 64,https://sakura-eigo.com/%e3%80%8c%e8%8b%b1%e8%aa%9e-%e7%99%ba%e9%9f%b3-%e7%9b%b4%e3%82%89%e3%81%aa%e3%81%84-%e5%a4%a7%e4%ba%ba%e3%80%8d%e3%81%a7%e4%b8%a6%e3%81%b6l-r%e3%83%bb%e7%99%ba%e9%9f%b3%e8%a8%98%e5%8f%b7%e3%83%bb/,この安心こそが、5年間英語を後回しにしてきた私の正体だった。,無理だという証拠が増えるほど、口を開かない自分が正当化された。 この安心こそが、5年間英語を後回しにしてきた私の正体だった。 30歳という自分なりの区切りが近づいて、そろそろ本気で、と思うのに、いつも最初の一歩の手前で止まる。,CLAUDE.md 2026-06-05.md 2026-06-05_eigo-coaching-hikaku.md 2026-06-05_eigo-coaching-koka-taiken.md,本人の記憶で足りる,
C017,スパトレを7日間使った,さくら,使った,体験,スパトレ,7日間,過去,yes,2,232 150,https://sakura-eigo.com/%e3%80%8c%e8%8b%b1%e8%aa%9e-%e7%99%ba%e9%9f%b3-%e7%9b%b4%e3%82%89%e3%81%aa%e3%81%84-%e5%a4%a7%e4%ba%ba%e3%80%8d%e3%81%a7%e4%b8%a6%e3%81%b6l-r%e3%83%bb%e7%99%ba%e9%9f%b3%e8%a8%98%e5%8f%b7%e3%83%bb/,第二言語習得の考え方をベースにしたスパトレの7日間無料体験を使った。,検証2週目、理論で自分の弱点を言語化できるか 発音の判定に慣れたら、次の7日は、なぜ自分の音がずれるのかを言葉で説明してくれる場に移った。 第二言語習得の考え方をベースにしたスパトレの7日間無料体験を使った。 ここでは音の正誤だけでなく、日本語話者がどこでつまずきやすいか、なぜ自分の耳がその音を聞き逃すのかを、トレーナーが理由から説明してくれる。,CLAUDE.md 2026-06-30.md 2026-07-03.md 2026-07-07.md,サービスのアカウント履歴,
C018,英語へ渡航した,さくら,渡航した,体験,英語,,過去,no,2,149 131,https://sakura-eigo.com/%e3%80%8c%e3%82%ab%e3%83%8a%e3%83%80-%e3%83%af%e3%83%bc%e3%83%9b%e3%83%aa-%e8%b2%bb%e7%94%a8-2024%e3%80%8d%e3%81%a7%e4%b8%a6%e3%81%b6150%e4%b8%87%e3%83%bb250%e4%b8%87%e3%81%ae%e8%a6%8b%e7%a9%8d/,「現地に着いてから英語を伸ばす」が効かない理由を、私は身をもって知っている 渡航してから語学学校に通えば英語は伸びる、という前提を、多くの人が置いている。,この皮肉に気づいたとき、私は貯金計画の紙をいったん閉じた。 「現地に着いてから英語を伸ばす」が効かない理由を、私は身をもって知っている 渡航してから語学学校に通えば英語は伸びる、という前提を、多くの人が置いている。 私も置いていた。,CLAUDE.md 2026-06-05.md 2026-06-05_eigo-coaching-hikaku.md 2026-06-05_eigo-coaching-koka-taiken.md,パスポートの出入国記録,
C019,英会話スクールを3年通った,さくら,通った,体験,英会話スクール,3年,過去,yes,2,19 40,https://sakura-eigo.com/%e3%80%8c%e8%8b%b1%e8%aa%9e-%e7%8b%ac%e5%ad%a6-%e7%a4%be%e4%bc%9a%e4%ba%ba-%e6%96%b9%e6%b3%95%e3%80%8d%e3%82%9210%e5%80%8b%e9%9b%86%e3%82%81%e3%81%a6%e3%82%82%e8%a9%b1%e3%81%9b%e3%81%aa%e3%81%84/,「独学は無料だからリスクゼロ」という計算が、私の3年を奪った スクールに通って挫折した経験があるぶん、私は独学に強く傾いていた。,恥ずかしさが減った頃、少しだけ言葉が出るようになっていた。 「独学は無料だからリスクゼロ」という計算が、私の3年を奪った スクールに通って挫折した経験があるぶん、私は独学に強く傾いていた。 お金がかからないから失敗してもダメージがない、と本気で思っていた。,2026-06-05.md 2026-06-05_eigo-coaching-hikaku.md 2026-06-05_eigo-coaching-koka-taiken.md 2026-06-05_kaigai-iju-eigoryoku.md,受講記録・領収書,
C020,オンライン英会話を3回登録した,さくら,登録した,体験,オンライン英会話,3回,過去,yes,1,546,https://sakura-eigo.com/online-english-lessons-90-days-success/,オンライン英会話を3回登録して、続いた日数はこれで打ち止めだった。,3日、4日、2日。 オンライン英会話を3回登録して、続いた日数はこれで打ち止めだった。 無料体験に申し込んで、初回はちゃんと話して、次の日に予約画面を開いて、講師を探しているうちに面倒になって閉じる。,CLAUDE.md 2026-06-05_eikaiwa-app-hikaku-shakaijin.md 2026-06-05_kaigai-iju-eigoryoku.md 2026-06-05_speak-success-story.md,サービスのアカウント履歴,
C021,ネイティブキャンプを候補にした,さくら,候補にした,調査,ネイティブキャンプ,,過去,no,1,546,https://sakura-eigo.com/online-english-lessons-90-days-success/,それで候補に入れたのが、予約なしで話せるネイティブキャンプだ。,予約をやめて、7日無料で試したら着手が3タップになった 「今すぐレッスン」を開いて話すまで、私が数えたら3手だった 私のつまずきが予約の手数だったのだから、要るのは講師の数でも教材の厚さでもなく、予約という工程を消せる機能だった。 それで候補に入れたのが、予約なしで話せるネイティブキャンプだ。 7日間の無料トライアルで試して、まず操作の回数を数えた。,CLAUDE.md 2026-06-11.md 2026-06-30.md 2026-08-07_nativecamp-yoyaku.md,本人の確認,
C022,オンライン英会話を検索した,さくら,検索した,調査,オンライン英会話,,過去,no,1,546,https://sakura-eigo.com/online-english-lessons-90-days-success/,30歳になる前に、また「続かない」で検索して閉じる前の一手 続くかは講師の質より「話し始めるまでの秒数」で決まる もし次にオンライン英会話を選ぶなら、私は口コミの星の数でも講師の国籍でもなく、「思い立ってから話し始めるまでの秒数」を最初に見る。,歯みがきのあとの5分は、90日たった今も残っている。 30歳になる前に、また「続かない」で検索して閉じる前の一手 続くかは講師の質より「話し始めるまでの秒数」で決まる もし次にオンライン英会話を選ぶなら、私は口コミの星の数でも講師の国籍でもなく、「思い立ってから話し始めるまでの秒数」を最初に見る。 無料体験のあいだに、アプリを開いてから実際に相手と話し出すまでを、スマホのストップウォッチで一度計ってみるといい。,CLAUDE.md 2026-06-05_eikaiwa-app-hikaku-shakaijin.md 2026-06-05_kaigai-iju-eigoryoku.md 2026-06-05_speak-success-story.md,本人の確認,
C023,ネイティブキャンプを7日間登録した,さくら,登録した,体験,ネイティブキャンプ,7日間,過去,yes,1,546,https://sakura-eigo.com/online-english-lessons-90-days-success/,ネイティブキャンプの7日間の無料トライアルを1つ登録して、今日、歯みがきのあとに「今すぐレッスン」を押して、5分だけ話す。,今週の、最初の一手 だから今週やることは1つだけにする。 ネイティブキャンプの7日間の無料トライアルを1つ登録して、今日、歯みがきのあとに「今すぐレッスン」を押して、5分だけ話す。 予約もしない、講師も選ばない、ただ思いついた流れのまま話し出すところまでを1回やる。,CLAUDE.md 2026-06-11.md 2026-06-30.md 2026-08-07_nativecamp-yoyaku.md,サービスのアカウント履歴,
