post_id,title,status,cta,programs,blockers,categories
18,留学エージェントの比較が終わらないなら、出発月を先に置く,publish,1,留学情報館,0,9
19,英語の独学が実らないのは、入力・出力・矯正のどれかが0だから,publish,1,スパトレ,0,4
23,ワーホリの貯金はいくら必要か｜200万を自分の数字に組み替える,publish,1,ネイティブキャンプ留学,0,6
27,英語に何時間かかるかは、自分の用途を絞ってから計算する,publish,0,（なし）,0,6
28,英会話が上達しない8つの理由は、1本の鎖として並べ直す,publish,0,（なし）,0,7
32,TOEIC500点から上げる勉強法｜最初に確認したい4つのこと,publish,2,speek + スパトレ,0,10
33,仕事の英語の電話は、職務の10場面を頻度順に並べて上位3つを固める,publish,1,ネイティブキャンプ,0,6
37,半年の留学にいくらかかるか｜休職と退職を金額で比べる手順,publish,1,ネイティブキャンプ留学,0,6
40,無料の留学エージェントに相談する前に｜手数料の仕組みと聞く3つの質問,publish,1,留学情報館,0,9
41,英会話が続かないなら、体力が枯れた日の最低ラインを先に決める,publish,0,（なし）,0,4
42,仕事の英語で詰まるなら、1000時間より先に「使う十数文」を数える,publish,1,ネイティブキャンプ,0,7
61,英語のやる気が出ないのは、他人に握られた締切が0本だから,publish,0,（なし）,0,4
64,英語コーチングを契約する前に、卒業後に残るものを聞く12の質問,publish,0,（なし）,0,6
67,フィリピン留学を申し込む前に、帰国後4週間の予定を埋める,publish,1,フィリピン留学ナビ,0,8
117,英語をゼロから始めるとき、今日やった分に明日の出番を1つ付ける,publish,0,（なし）,0,6
131,ワーホリの貯金額より先に決めたい、収入が始まるまでの月数,publish,1,留学情報館,0,6
136,「英語できなくても移住できる」は、入口を越えたあとの話,publish,0,（なし）,0,6
137,英語コーチングの体験談は、到達点の写真かその後の傾きかで読み分ける,publish,0,（なし）,0,6
138,英語コーチングの費用は、総額ではなく残った月数で割って見る,publish,1,スパトレ,0,5
149,カナダ ワーホリの費用は3つの箱で出す｜まとめ記事に載らない項目,publish,1,留学情報館,0,6
150,英語の勉強が続かないなら、空いた日から戻る手順を先に決める,publish,0,（なし）,0,4
151,「英語コーチングは意味ない」を、自分の条件へ翻訳する4つの問い,publish,0,（なし）,0,5
207,留学の不安は、調べて消える・試して縮む・残るの3つに分ける,publish,0,（なし）,0,6
232,大人の発音は直らないのか｜年齢の前に確認する2つのこと,publish,1,speek,0,5
235,セブ島留学1ヶ月の比較表に、帰国後の列を6本足す,publish,1,フィリピン留学ナビ,0,8
238,ワーホリに間に合うかを調べる前に、分けておきたい2つの締切,publish,0,（なし）,0,6
241,独学をやめずに、反応が返る2つの工程だけを外に出す,publish,1,スパトレ,0,6
272,フィリピン留学の費用を社会人が計算する方法｜表に載らない2つの箱,publish,1,留学情報館,0,6
273,オンライン英会話で自分が話した秒数を、録音して測る,publish,1,ネイティブキャンプ,0,4
277,国内留学・英語合宿を申し込む前に｜帰宅後30日の枠を先に決める,publish,1,スパトレ,0,6
278,英語コーチングに払う前に確認する3つのこと｜卒業後に何が残るか,publish,1,スパトレ,0,6
281,留学の効果が帰国後に消えるのは、落ちやすい能力が決まっているから,publish,1,DMM英会話,0,8
282,TOEIC400点台でワーホリに行く前に、点数の外側で確認する3つのこと,publish,1,スパトレ,0,4
283,セブ島留学に初心者で行く前に｜事前学習が続かないときに見るところ,publish,2,スパトレ + フィリピン留学ナビ,0,8
