# サービス利用の実体験台帳。ここに書いた範囲だけ、記事で体験として書ける。
#
# status        used / not_used / unknown（空欄は unknown 扱い。台帳に無いサービスも unknown）
# usage_type    free_trial / paid / single / continuous など
# start_date    利用開始（2026-01 の形式）
# end_date      利用終了（継続中なら ongoing）
# amount_paid   実際に払った総額（円・数字のみ。無料なら 0）
# actual_experience  実際にしたこと（記事の素材になる）
# allowed_claims     記事で書いてよい主張。ここに無い具体は書かない
# note          補足
#
# 判定:
#   used       … 登録した期間・金額・内容の範囲だけ体験表現OK。超えたら警告
#   not_used   … 「調べた」「比較した」「候補にした」のみ
#   unknown/空 … 体験表現があれば警告（自動修正はしない。監査一覧に出す）
service,status,usage_type,start_date,end_date,amount_paid,actual_experience,allowed_claims,note
speek,unknown,,,,,,,
スパトレ,unknown,,,,,,,
DMM英会話,unknown,,,,,,,
ネイティブキャンプ,unknown,,,,,,,
QQ English,unknown,,,,,,,
レアジョブ英会話,unknown,,,,,,,
スタディサプリ,unknown,,,,,,,
Notta,unknown,,,,,,,
Notta Memo,unknown,,,,,,,
U-GAKU,unknown,,,,,,,
留学情報館,unknown,,,,,,,
フィリピン留学ナビ,unknown,,,,,,,
CEBRIDGE,unknown,,,,,,,
ネイティブキャンプ留学,unknown,,,,,,,
