platform,stock_id,file,line,post_id,title,url,chars,state,scheduled_at,generator,template,link,cta,hashtag,image,image_file,same_article_count,hash,dup_exact,dup_near,text,verdict,why
Threads,TH-FILE-2026-08-02-1,workspace/threads/2026-08-02.md,6,,セブ島に1ヶ月留学した27歳が、最初の1週間でやめた3つと、残した1つ,,226,下書き（未投稿・手で貼る前提）,なし（自動投稿の口が無い）,threads-note-cannon.yml（claude -p）,.github/workflows/threads-note-cannon.yml の claude -p,,記事へ送る一言あり,なし,なし,,1,67fd6674,,,"35万円、120コマ、28日。セブ島留学で私は最初の3日で息切れしていた。8コマ⇒6コマに減らして復習に2時間回した。伸びなかったのは根性がないからじゃなかった。1ヶ月で全部やろうとする設計のせいだった。

45000円を溶かした過去と同じ間違いを繰り返しかけて気づいた。教材を増やすことじゃなく、習ったことを口から出す回数。数を追うのをやめて、密度を上げたら記憶に残るようになった。

27歳のいま動かないと30歳で後悔する。続きはnoteに書いた。",廃棄候補,書けない事実で、しかも記事の中身と別物
Threads,TH-FILE-2026-08-04-1,workspace/threads/2026-08-04.md,6,,TOEICリスニングが325点で止まっていた私が、聞き流しをやめて2ヶ月で動かした勉強法,,317,下書き（未投稿・手で貼る前提）,なし（自動投稿の口が無い）,daily-article-drafter.yml の Threads ステップ,.github/workflows/daily-article-drafter.yml L280-L410,,なし,なし,なし,,3,475330b9,,,"聞き流しをやめたら
L325が2ヶ月で動いた

4万5000円のスクールで習ったことを
独学で0円で実装したら↓
===THREADS_2===
325点、320点、330点
2年間ここに留まっていた

通勤40分の音声は
右から左へ抜けるだけだった

変えたこと

・1文流れるたびに日本語で言い直す
・訳さず語順のまま意味を置く
・Part3/4は設問を先に読む
・毎朝5文だけ、お手本と自分の声を比べる
・朝10分のAI英会話

話す練習を混ぜた朝から
拾える単語が増えた

耳が聞き取れていなかったのではなく
脳の処理速度が追いついていなかった

スコアシートをリスニングとリーディングに割って
片方だけ止まっているか確認する",廃棄候補,出力が壊れている。直すより作り直すほうが早い
Threads,TH-FILE-2026-08-04-2,workspace/threads/2026-08-04.md,37,,TOEICリスニングが325点で止まっていた私が、聞き流しをやめて2ヶ月で動かした勉強法,,244,下書き（未投稿・手で貼る前提）,なし（自動投稿の口が無い）,daily-article-drafter.yml の Threads ステップ,.github/workflows/daily-article-drafter.yml L280-L410,,なし,なし,なし,,3,178e7228,,,"325点、320点、330点
2年間ここに留まっていた

通勤40分の音声は
右から左へ抜けるだけだった

変えたこと

・1文流れるたびに日本語で言い直す
・訳さず語順のまま意味を置く
・Part3/4は設問を先に読む
・毎朝5文だけ、お手本と自分の声を比べる
・朝10分のAI英会話

話す練習を混ぜた朝から
拾える単語が増えた

耳が聞き取れていなかったのではなく
脳の処理速度が追いついていなかった

スコアシートをリスニングとリーディングに割って
片方だけ止まっているか確認する",廃棄候補,書けない事実で、しかも記事の中身と別物
Threads,TH-FILE-2026-08-04-3,workspace/threads/2026-08-04.md,62,,TOEICリスニングが325点で止まっていた私が、聞き流しをやめて2ヶ月で動かした勉強法,,49,下書き（未投稿・手で貼る前提）,なし（自動投稿の口が無い）,daily-article-drafter.yml の Threads ステップ,.github/workflows/daily-article-drafter.yml L280-L410,https://sakura-eigo.com/?p=521&utm_source=threads,なし,なし,なし,,3,d41d8cd9,,,https://sakura-eigo.com/?p=521&utm_source=threads,要修正,押す理由が無い／記事と食い違う
Threads,TH-FILE-2026-08-07-1,workspace/threads/2026-08-07.md,6,,英語の会議が3割しか聞き取れなかった私が、聞き取れないまま詰まらなくなった3つの準備,,100,下書き（未投稿・手で貼る前提）,なし（自動投稿の口が無い）,daily-article-drafter.yml の Threads ステップ,.github/workflows/daily-article-drafter.yml L280-L410,,なし,なし,なし,,4,68bc24de,TH-MEMO-584-1,,"3割、5割、また3割

英語会議のあと、
聞き取れた割合を数えると
毎回ここを行ったり来たり

27歳から5年逃げてきた英語だから
全部だめだと思ってた

でも数字にしたら
1つ見えたことがある

↓",廃棄候補,台帳に無い、さくら固有の過去を語っている
Threads,TH-FILE-2026-08-07-2,workspace/threads/2026-08-07.md,22,,英語の会議が3割しか聞き取れなかった私が、聞き取れないまま詰まらなくなった3つの準備,,399,下書き（未投稿・手で貼る前提）,なし（自動投稿の口が無い）,daily-article-drafter.yml の Threads ステップ,.github/workflows/daily-article-drafter.yml L280-L410,https://sakura-eigo.com/english-meeting-listening-preparation-tips/?utm_source=threads,なし,なし,なし,,4,e825cda7,TH-MEMO-584-2,,"私が詰まってたのは
聞き取れないこと自体じゃなかった

1文取りこぼすと
そのあと何を聞かれてるか分からなくなって
返事もできず黙ってしまう

1文のせいで
残り10分をまるごと失う

逆に言えば
その1文をあとで拾えたら
その場で固まらずに済む

だとしたら
リスニング訓練より先に
「詰まらない仕組み」を持つほうが早い

会議前3分でやったのは3つ

1つ、アジェンダと参加者名を声に出して読む
初対面の名前を先に音で入れておくと
会議中に耳が引っかかる

2つ、数字と固有名詞を紙に書き出す
営業事務は日付や金額を落とすと後が狂う
拾う対象を絞ると
その一点だけ網に残る

3つ、自分が発言する可能性のある1文を英語

https://sakura-eigo.com/english-meeting-listening-preparation-tips/?utm_source=threads",廃棄候補,出力が壊れている。直すより作り直すほうが早い
Threads,TH-FILE-2026-08-08-1,workspace/threads/2026-08-08.md,6,,ChatGPTで英語は伸びると思っていた私が、AIに任せない3つを決めた話,,162,下書き（未投稿・手で貼る前提）,なし（自動投稿の口が無い）,daily-article-drafter.yml の Threads ステップ,.github/workflows/daily-article-drafter.yml L280-L410,,なし,なし,なし,,6,c7e0ad1f,TH-MEMO-641-1,,"4万5000円溶かした
ChatGPTなら大丈夫だと思った

無料、24時間、回数無制限

この3つの数字に心つかまれて
夜のスマホで英作文を直してもらって
なんとなく賢くなった気になって
3日で開かなくなった

心当たりがあるなら
やる気の問題じゃない

AIに任せる場所と任せない場所を
分けてないだけかもしれない

↓",廃棄候補,台帳に無い、さくら固有の過去を語っている
Threads,TH-FILE-2026-08-08-2,workspace/threads/2026-08-08.md,26,,ChatGPTで英語は伸びると思っていた私が、AIに任せない3つを決めた話,,230,下書き（未投稿・手で貼る前提）,なし（自動投稿の口が無い）,daily-article-drafter.yml の Threads ステップ,.github/workflows/daily-article-drafter.yml L280-L410,,記事へ送る一言あり,なし,なし,,6,287f3d8c,TH-MEMO-641-2,,"ChatGPTで英語が続かない理由は
便利さと正しさを混同してるから

やめたのはこれ

・会話しっぱなしにする
・発音をChatGPTに採点させる
・自分で採点できないことまで頼る

代わりにこうした

直した英文だけじゃなく
どこが、なぜ、正しい形の3点で説明してもらう

1通のメール直すのに5分で
自分の弱点が言葉になって残る

それが明日の練習の的になる

ChatGPTが得意なことと苦手なことを見分ける方法も
記事に書いた

（記事URLを貼る）",廃棄候補,出力が壊れている。直すより作り直すほうが早い
Threads,TH-FILE-SAMPLE_2026-07-28-1,workspace/threads/SAMPLE_2026-07-28.md,10,,TOEIC 600点から伸びない社会人が、2年の停滞を抜けた勉強の作り直し方,,111,下書き（未投稿・手で貼る前提）,なし（自動投稿の口が無い）,見本（人が作った）,（見本・生成物ではない）,,記事へ送る一言あり,なし,なし,,1,6169372e,,,"TOEIC、2年かけて595点が600点になっただけだった。
参考書を2冊足したし、模試アプリも入れた。
なのに止まってた原因が、勉強量じゃなかった。

スコアシートを3枚並べて、やっと分かった。
続きはnoteに書いた。",廃棄候補,書けない事実で、しかも記事の中身と別物
Threads,TH-FILE-built_315-1,workspace/threads/built_315.md,3,315,セブ島に1ヶ月留学した27歳が、最初の1週間でやめた3つと、残した1つ,https://sakura-eigo.com/cebu-island-one-month-study-abroad/,67,下書き（未投稿・手で貼る前提）,なし（自動投稿の口が無い）,threads_builder.py（手動ワークフロー）,scripts/threads_builder.py の RULES,,なし,なし,なし,,3,10f8f03c,,,"セブ島留学
8コマ入れて水曜に潰れた

口は動くのに
夜に何も思い出せない

授業を6コマに減らした
浮いた時間でやったのはこれだけ↓",廃棄候補,書けない事実で、しかも記事の中身と別物
