post_id,url,title,deliverable,main_program,sub_program,cta_count,sources,blockers,http,canonical,noindex,eyecatch
18,https://sakura-eigo.com/%e7%95%99%e5%ad%a6%e3%82%a8%e3%83%bc%e3%82%b8%e3%82%a7%e3%83%b3%e3%83%88%e3%81%ae%e3%81%8a%e3%81%99%e3%81%99%e3%82%81%e3%82%9218%e7%a4%be%e6%af%94%e8%bc%83%e3%81%97%e7%b6%9a%e3%81%91%e3%82%8b%e9%99%90/,留学エージェントの比較が終わらないなら、出発月を先に置く,出発月からの逆算カレンダー,ネイティブキャンプ留学,留学情報館,2,nativecamp.net / ryugaku-johokan.com,0,200,自己参照,なし,https://sakura-eigo.com/wp-content/uploads/2026/08/eyecatch-18.png
19,https://sakura-eigo.com/%e3%80%8c%e8%8b%b1%e8%aa%9e-%e7%8b%ac%e5%ad%a6-%e7%a4%be%e4%bc%9a%e4%ba%ba-%e6%96%b9%e6%b3%95%e3%80%8d%e3%82%9210%e5%80%8b%e9%9b%86%e3%82%81%e3%81%a6%e3%82%82%e8%a9%b1%e3%81%9b%e3%81%aa%e3%81%84/,英語の独学が実らないのは、入力・出力・矯正のどれかが0だから,入力・出力・矯正の3列表,スパトレ,スタディサプリ 新日常英会話,2,eigosapuri.jp / sptr.jp,0,200,自己参照,なし,https://sakura-eigo.com/wp-content/uploads/2026/08/eyecatch-19.png
23,https://sakura-eigo.com/%e3%80%8c%e3%83%af%e3%83%bc%e3%83%9b%e3%83%aa-%e8%b2%af%e9%87%91-%e3%81%84%e3%81%8f%e3%82%89%e5%bf%85%e8%a6%81%e3%80%8d%e3%81%a7%e5%87%ba%e3%81%9f200%e4%b8%87%e3%81%ab%e6%80%af%e3%81%88%e3%81%a6/,ワーホリの貯金はいくら必要か｜200万を自分の数字に組み替える,（全面再構成の対象外）,ネイティブキャンプ留学,留学情報館,2,nativecamp.net / ryugaku-johokan.com,0,200,自己参照,なし,https://sakura-eigo.com/wp-content/uploads/2026/06/74b9063a-dc86-40e6-b53c-87d44d0498df.png
27,https://sakura-eigo.com/%e3%80%8c%e8%8b%b1%e8%aa%9e-%e3%83%9a%e3%83%a9%e3%83%9a%e3%83%a9-%e3%81%ab%e3%81%aa%e3%82%8b-%e6%9c%9f%e9%96%93%e3%80%8d%e3%81%a7%e5%87%ba%e3%82%8b2000%e6%99%82%e9%96%93%e3%83%bb2%e5%b9%b4/,英語に何時間かかるかは、自分の用途を絞ってから計算する,用途の絞り込みシート,ネイティブキャンプ留学,留学情報館,2,nativecamp.net / ryugaku-johokan.com,0,200,自己参照,なし,https://sakura-eigo.com/wp-content/uploads/2026/08/eyecatch-27.png
28,https://sakura-eigo.com/%e3%80%8c%e8%8b%b1%e4%bc%9a%e8%a9%b1-%e4%b8%8a%e9%81%94-%e3%81%97%e3%81%aa%e3%81%84-%e7%90%86%e7%94%b1%e3%80%8d%e3%81%a7%e5%87%ba%e3%82%8b8%e5%80%8b%e3%81%ae%e3%83%aa%e3%82%b9%e3%83%88%e3%82%92/,英会話が上達しない8つの理由は、1本の鎖として並べ直す,手間と実感の差し引き表,QQ English,ネイティブキャンプ,2,nativecamp.net / qqeng.com,0,200,自己参照,なし,https://sakura-eigo.com/wp-content/uploads/2026/08/eyecatch-28.png
32,https://sakura-eigo.com/%e3%80%8ctoeic-500%e7%82%b9-%e3%81%8b%e3%82%89-%e4%b8%8a%e3%81%92%e3%82%8b-%e6%96%b9%e6%b3%95%e3%80%8d%e3%81%a7%e5%87%ba%e3%82%8b%e5%8f%82%e8%80%83%e6%9b%b8%e3%81%a8200%e6%99%82%e9%96%93%e3%82%92/,TOEIC500点から上げる勉強法｜最初に確認したい4つのこと,（全面再構成の対象外）,speek,スパトレ,2,iibc-global.org / speek.jp / sptr.jp,0,200,自己参照,なし,https://sakura-eigo.com/wp-content/uploads/2026/08/toeic-500-200.png
33,https://sakura-eigo.com/%e3%80%8c%e3%83%93%e3%82%b8%e3%83%8d%e3%82%b9%e8%8b%b1%e8%aa%9e-%e5%8b%89%e5%bc%b7%e6%b3%95-%e7%a4%be%e4%bc%9a%e4%ba%ba%e3%80%8d%e3%81%a7%e5%87%ba%e3%82%8b%e5%ae%9a%e5%9e%8b%e8%a1%a8%e7%8f%be%e3%82%92/,仕事の英語の電話は、職務の10場面を頻度順に並べて上位3つを固める,職務10場面の頻度順表＋英文の型,QQ English,ネイティブキャンプ,2,nativecamp.net / qqeng.com,0,200,自己参照,なし,https://sakura-eigo.com/wp-content/uploads/2026/08/eyecatch-33.png
37,https://sakura-eigo.com/%e3%80%8c%e7%95%99%e5%ad%a6-%e7%a4%be%e4%bc%9a%e4%ba%ba-%e8%b2%bb%e7%94%a8-%e7%8f%be%e5%ae%9f%e3%80%8d%e3%81%a7%e5%87%ba%e3%81%a6%e3%81%8f%e3%82%8b120%e4%b8%87%e5%86%86%e3%81%a8%e3%81%84%e3%81%86/,半年の留学にいくらかかるか｜休職と退職を金額で比べる手順,（全面再構成の対象外）,ネイティブキャンプ留学,留学情報館,2,nativecamp.net / ryugaku-johokan.com,0,200,自己参照,なし,https://sakura-eigo.com/wp-content/uploads/2026/08/eyecatch-37.png
40,https://sakura-eigo.com/%e3%80%8c%e7%95%99%e5%ad%a6%e3%82%a8%e3%83%bc%e3%82%b8%e3%82%a7%e3%83%b3%e3%83%88-%e7%84%a1%e6%96%99-%e4%bb%95%e7%b5%84%e3%81%bf%e3%80%8d%e3%81%a7%e5%87%ba%e3%81%a6%e3%81%8f%e3%82%8b%e5%ad%a6/,無料の留学エージェントに相談する前に｜手数料の仕組みと聞く3つの質問,（全面再構成の対象外）,留学情報館,（なし）,1,ryugaku-johokan.com,0,200,自己参照,なし,https://sakura-eigo.com/wp-content/uploads/2026/08/eyecatch-40.png
41,https://sakura-eigo.com/%e3%80%8c%e8%8b%b1%e4%bc%9a%e8%a9%b1-%e7%b6%9a%e3%81%8b%e3%81%aa%e3%81%84-%e8%a7%a3%e6%b1%ba%e7%ad%96%e3%80%8d%e3%81%a7%e4%b8%a6%e3%81%b6%e7%bf%92%e6%85%a3%e5%8c%96%e3%81%ae%e3%82%b3%e3%83%84/,英会話が続かないなら、体力が枯れた日の最低ラインを先に決める,体力3段階の最低ライン表,スパトレ,スタディサプリ 新日常英会話,2,eigosapuri.jp / sptr.jp,0,200,自己参照,なし,https://sakura-eigo.com/wp-content/uploads/2026/08/eyecatch-41.png
